 19 | Life insurance | 2021-02-01 12:53:08.237429
 1 | Buy auto | 2021-02-01 12:53:08.237522
 2 | Learning | 2021-02-01 12:53:08.237560
 3 | Car insurance | 2021-02-01 12:53:08.237585
 4 | Pizza | 2021-02-01 12:53:08.237608
 5 | Cleaning | 2021-02-01 12:53:08.237629
 6 | Car wash | 2021-02-01 12:53:08.237650
 7 | Get loan | 2021-02-01 12:53:08.237671
 8 | Buy house | 2021-02-01 12:53:08.237693
 9 | Buy auto | 2021-02-01 12:53:08.237715
 10 | Buy house | 2021-02-01 12:53:08.237735
 11 | Barbershop | 2021-02-01 12:53:08.237757
 12 | Repair smth | 2021-02-01 12:53:08.237778
 13 | Barbershop | 2021-02-01 12:53:08.237799
 14 | Barbershop | 2021-02-01 12:53:08.237820
 15 | Barbershop | 2021-02-01 12:53:08.237840
 16 | Get loan | 2021-02-01 12:53:08.237861
 17 | Get loan | 2021-02-01 12:53:08.237882
 18 | Cleaning | 2021-02-01 12:53:08.237903
 20 | Life insurance | 2021-02-01 12:53:08.237924
 21 | Repair smth | 2021-02-01 12:53:08.237956
 22 | Buy auto | 2021-02-01 12:53:08.237978
 23 | Learning | 2021-02-01 12:53:08.237998
 24 | Cleaning | 2021-02-01 12:53:08.238018
 25 | Life insurance | 2021-02-01 12:53:08.238074
 26 | Learning | 2021-02-01 12:53:08.238101
 27 | Barbershop | 2021-02-01 12:53:08.238124
 28 | Car wash | 2021-02-01 12:53:08.238145
 29 | Learning | 2021-02-01 12:53:08.238166
 30 | Car wash | 2021-02-01 12:53:08.238186
 31 | Pizza | 2021-02-01 12:53:08.238208
 32 | Get loan | 2021-02-01 12:53:08.238228
 33 | Car insurance | 2021-02-01 12:53:08.238249
 34 | Learning | 2021-02-01 12:53:08.238270
 35 | Pizza | 2021-02-01 12:53:08.238290
 36 | Buy house | 2021-02-01 12:53:08.238310
 37 | Pizza | 2021-02-01 12:53:08.238331
 38 | Car insurance | 2021-02-01 12:53:08.238351
 39 | Pizza | 2021-02-01 12:53:08.238372
 40 | Car insurance | 2021-02-01 12:53:08.238391
 41 | Pizza | 2021-02-01 12:53:08.238412
 42 | Cleaning | 2021-02-01 12:53:08.238432
 43 | Repair smth | 2021-02-01 12:53:08.238452
 44 | Pizza | 2021-02-01 12:53:08.238473
 45 | Repair smth | 2021-02-01 12:53:08.238493
 46 | Cleaning | 2021-02-01 12:53:08.238513
 47 | Repair smth | 2021-02-01 12:53:08.238534
 48 | Learning | 2021-02-01 12:53:08.238553
 49 | Buy auto | 2021-02-01 12:53:08.238572
 50 | Get loan | 2021-02-01 12:53:08.238592
 8 | Car wash | 2021-02-01 12:53:10.936012
 17 | Get loan | 2021-02-01 12:53:10.936300
 20 | Pizza | 2021-02-01 12:53:10.936605
 9 | Cleaning | 2021-02-01 12:53:10.936723
 16 | Pizza | 2021-02-01 12:53:10.936873
 33 | Life insurance | 2021-02-01 12:53:10.936938
 2 | Buy auto | 2021-02-01 12:53:10.939501
 4 | Car wash | 2021-02-01 12:53:10.939563
 5 | Learning | 2021-02-01 12:53:10.939613
 7 | Cleaning | 2021-02-01 12:53:10.939652
 12 | Learning | 2021-02-01 12:53:10.939689
 13 | Buy auto | 2021-02-01 12:53:10.939726
 19 | Cleaning | 2021-02-01 12:53:10.939819
 23 | Barbershop | 2021-02-01 12:53:10.939877
 26 | Buy auto | 2021-02-01 12:53:10.939920
 28 | Cleaning | 2021-02-01 12:53:10.939958
 36 | Car insurance | 2021-02-01 12:53:10.939999
 37 | Buy house | 2021-02-01 12:53:10.940035
 30 | Pizza | 2021-02-01 12:53:10.940271
 34 | Cleaning | 2021-02-01 12:53:10.941274
 25 | Buy house | 2021-02-01 12:53:10.941541
 1 | Buy house | 2021-02-01 12:53:10.942458
 3 | Buy house | 2021-02-01 12:53:10.942512
 6 | Cleaning | 2021-02-01 12:53:10.942630
 22 | Car insurance | 2021-02-01 12:53:10.942713
 27 | Buy house | 2021-02-01 12:53:10.942965
 11 | Life insurance | 2021-02-01 12:53:10.943010
 14 | Cleaning | 2021-02-01 12:53:10.943052
 29 | Buy house | 2021-02-01 12:53:10.943268
 31 | Buy auto | 2021-02-01 12:53:10.943316
 32 | Get loan | 2021-02-01 12:53:10.943347
 10 | Repair smth | 2021-02-01 12:53:10.943723
 15 | Car wash | 2021-02-01 12:53:10.944064
 18 | Buy auto | 2021-02-01 12:53:10.944107
 21 | Pizza | 2021-02-01 12:53:10.944145
 38 | Cleaning | 2021-02-01 12:53:10.944181
 35 | Learning | 2021-02-01 12:53:10.944308
 24 | Life insurance | 2021-02-01 12:53:10.944482
 41 | Car insurance | 2021-02-01 12:53:10.967443
 43 | Buy auto | 2021-02-01 12:53:10.967498
 44 | Cleaning | 2021-02-01 12:53:10.968107
 42 | Buy auto | 2021-02-01 12:53:10.968155
 45 | Repair smth | 2021-02-01 12:53:10.968192
 39 | Cleaning | 2021-02-01 12:53:10.968221
 40 | Pizza | 2021-02-01 12:53:10.968255
 47 | Barbershop | 2021-02-01 12:53:10.968278
 48 | Car insurance | 2021-02-01 12:53:10.968300
 49 | Buy auto | 2021-02-01 12:53:10.968321
 46 | Repair smth | 2021-02-01 12:53:10.968748
 50 | Life insurance | 2021-02-01 12:53:11.113395
 
